Tweet_Content,First_Level_True,First_Level_Pred,Second_Level_True,Second_Level_Pred,Sentiment
coronavirus stimulus spending debates continue in washington weve got an update should there be another round of spending at all also violence in the name of protest what should be done about it heres the avp discussion w,0,0,1,1,Negative
why is the left going along with coronavirus has it stopped diagnosis of other fake diseases or just made people worry more and they meanwhile have more trouble accessing edible food,0,0,0,0,Positive
proof that trumps panic excuse is bs  months after feb 5x deadlier airborne audio hhs cooking cdc coronavirus data to politically benefit trump not the usa safety,0,0,0,0,Negative
alert police chief praised officer for political attack on senator they charged with felonies global pandemic news  coronavirus covid19 protests -,0,0,1,1,Neutral
nearly 770000 lives worldwide could be saved between now and jan 1 through coronavirus preventive measures suggested by the including mask-wearing and social distancing,0,0,1,1,Positive
weekly update coronavirus covid19 next update after 14 september the world declined in rate of transmission 107 and the us declined 104 the fatality rate remains at 3 there is now 1 coronavirus case for every 51 americans its a slow burn decline no 2nd wave yet,0,0,1,1,Negative
considering he was just revealed on tape acknowledging how airborne and deadly coronavirus is amp claims to have taken it seriously from the start needs to answer why hes holding these kinds of indoor rallies in defiance of state amp local safety ordinances,0,0,1,1,Negative
china bombshell xi jinping tipped to step down from presidency,1,1,3,3,Negative
 more groceries less gas the pandemic is shaking up the cost of living mega-d 8 violence 2 motion 4 arrangement 7 evolution ,1,1,3,3,Positive
trump pressed for plasma therapy officials worry is an unvetted vaccine next,1,1,2,2,Neutral
sweet book for kids on coronavirus by artist,0,0,1,1,Positive
the trump administration wants a civilrace war they are building the foundation for uprisings stoking fear and scare-tactics before the election so trump can declare martial law and stay in office isnt this a federal crime,1,1,2,2,Positive
dont kill your gran britain sounds covid-19 alarm,1,1,3,3,Neutral
nah you guys did forget because you lost 1000 on that day but coronavirus records surpassed that within hours of a day and no one cared so shut up you dont care about 911 you guys just wanna keep the anger and sadness that day brings to keep the hatred alive,0,0,1,1,Negative
and the coronavirus spread all over the world so no trump isnt responsible not to mention we are a republic we have 50 states and the states are run by governors all of the worst hit states are run by democrats if youre looking to point fingers thats where you start,0,0,1,1,Negative
what about the accuracyreliability of covid tests when will the canadian media start reporting in this story,1,1,3,3,Neutral
what are they charging this to will the virus will think they are weak if they show fear they suppose coronavirus cares who they are tonys has no problem putting up hurricane shutters when a scientist tells them a is rolling out of puerto rico,0,0,0,0,Negative
we must all do the right thing if stockton is to help beat the coronavirus im delighted at for being strong leaders,0,0,1,1,Positive
proof the left is desperate to keep the fear of covid alive and well until america is firmly under their feet bill gates says he isnt sure he can trust the fda on a coronavirus vaccine,0,0,0,0,Negative
no they didnt they needed to change the violence narrative they needed to obfuscate the great employment stock market coronavirus comeback numbers get the story out and dont worry about the truth hate is all they have,0,0,0,1,Neutral
played like a sucker by trump she was so gullible she helped kill americans gov noem played like one of his stupid bitches,1,1,3,3,Negative
trump lied about the coronavirus in the hopes that wall street wouldnt panic and that a strong economy would help his chances at re-election instead the country was forced to shut down the economy tanked and trumps decisions have cost 195000 lives so far,0,0,0,0,Positive
tenet was supposed to mark the return of the movie theater business in the united states instead it has shown just how much trouble the industry is in,1,1,2,2,Negative
so are any of these people actually significantly ill has the hospitalization rate increased why are we not told this news coronavirus rise in uk cases a great concern van tam says,0,0,0,0,Positive
rising coronavirus case counts a cause for concern tam says,0,0,0,0,Neutral
